baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PF3D7_0211000	46.3743831703328	-3.55345232216377	0.586613636527201	-6.057568561141	1.38194447181158e-09	3.46784076849072e-08
PF3D7_0218800	47.4381481698913	-3.1323464133093	0.530358928936653	-5.90608782544592	3.50327260431459e-09	8.0362950347459e-08
PF3D7_0301900	13.16090583352	-2.98866078348225	0.936108780379284	-3.19264261389722	0.00140977309945259	0.00797408395730221
PF3D7_0605100	276.356322394288	-2.8980420881488	0.31125638061601	-9.31078772558258	1.26887750980633e-20	1.51664253935273e-18
PF3D7_0622000	37.9738275967478	-2.89543584059587	0.612705642740464	-4.72565558176579	2.29374137283599e-06	2.9513238853884e-05
mal_mito_1	45.8696199566656	-2.69186555198125	0.545821943022339	-4.93176499478159	8.14899209472928e-07	1.14946341907641e-05
PF3D7_0918400	95.7636831857152	-2.69117488616248	0.419355410650162	-6.41740828379948	1.38613815583101e-10	4.28976593009258e-09
PF3D7_0221800	16.4734125730203	-2.68318766230316	0.818856667774512	-3.2767488718087	0.00105009722536662	0.00627571262844105
PF3D7_0811800	19.1953213592249	-2.62841950829221	0.764179119136416	-3.43953327495069	0.000582718146210493	0.00381369714710095
PF3D7_1318200	20.7793303649289	-2.62355919489948	0.818959187497725	-3.20352861894814	0.00135754546718401	0.00772678134329545
PF3D7_0417700	19.4169609554548	-2.49448433613136	0.737033100776223	-3.38449431036983	0.000713094968395861	0.00452357171292458
PF3D7_0420500	22.2998574338175	-2.48878451540748	0.734015824480267	-3.39064149900271	0.000697292484913901	0.00446777419802938
PF3D7_0718700	38.2791083239234	-2.47646986462898	0.542858546303113	-4.56190637781027	5.06912508482056e-06	5.91875736124806e-05
PF3D7_0919500	46.4264199790241	-2.4380578319462	0.586279094805793	-4.15852765951652	3.2030545310821e-05	0.00031019773305277
PF3D7_1471500	70.3017051738027	-2.42827440425642	0.522462032208338	-4.64775285965299	3.35570616916643e-06	4.15262291402543e-05
PF3D7_1346700	30.5629929035263	-2.41712870353063	0.644750339655283	-3.7489374644191	0.000177585355939196	0.00137175626985685
PF3D7_1346600	42.1780096814561	-2.37054401669405	0.522500816344723	-4.53691925933772	5.70819476162941e-06	6.5803605602337e-05
PF3D7_1209800	25.5445822569914	-2.35134412701054	0.64342833749717	-3.65439939458818	0.000257784718785454	0.0019131669815744
PF3D7_0109300	40.6856480154183	-2.32074848997409	0.537192225659075	-4.32014533927178	1.55926470584623e-05	0.000164701867301246
PF3D7_0526400	38.9928672773925	-2.30181322539959	0.53485202829388	-4.30364494034384	1.68010845540673e-05	0.000174623629392617
PF3D7_1117000	46.1976292516807	-2.24594955788698	0.534656977093168	-4.20072991490319	2.66055829520082e-05	0.00026676061317444
PF3D7_1001300	48.4458765426834	-2.21947324957565	0.476892352618835	-4.65403405482916	3.2550300703073e-06	4.05050591214679e-05
PF3D7_1027600	22.1915640932701	-2.20709201401632	0.696990145898072	-3.16660433006908	0.00154230010720522	0.00849402777987809
mal_mito_2	62.5999735235219	-2.12773787073455	0.461614100287073	-4.60934332250971	4.03942810757954e-06	4.8795432086772e-05
PF3D7_0622700	25.4535374907479	-2.07220614748931	0.626479234943393	-3.3077012483527	0.00094065098363282	0.00572712703439715
PF3D7_1113300	424.967940267358	-2.06894577164158	0.288058336313307	-7.18238464514106	6.85058574866318e-13	3.2077691206627e-11
PF3D7_0211600	30.1291339762517	-2.04738666112478	0.623187584369512	-3.28534571688579	0.0010185730851676	0.00612762775209439
PF3D7_1215600	39.9487554553746	-2.0458469088514	0.520635719556116	-3.92951699625152	8.51166605993577e-05	0.000729433721589213
PF3D7_1213200	44.5094523107245	-2.01103951012458	0.512093573380271	-3.92709382554821	8.59784474146409e-05	0.000734653700280148
PF3D7_0212800	82.4194391836019	-1.98155356398592	0.419516749594797	-4.72341942461144	2.31911867539789e-06	2.96716535877668e-05
PF3D7_0219300	82.277325872452	-1.980922819093	0.382897882951295	-5.17350162352551	2.29747125574706e-07	3.6873195913792e-06
PF3D7_1010000	79.3584704535639	-1.96417183657008	0.383340239024632	-5.12383422509388	2.9938422667358e-07	4.68897640534965e-06
PF3D7_1431900	39.4869730700039	-1.95030995355308	0.551041544438038	-3.53931563461706	0.000401165879696963	0.00277758449021891
PF3D7_1001200	884.891544578297	-1.94122578066404	0.225024881405581	-8.62671615929085	6.31386108754507e-18	5.62305040384896e-16
PF3D7_1029600	6079.5179993183	-1.91780999552297	0.181039752534358	-10.5933087549874	3.2007412509347e-26	7.26888338087271e-24
PF3D7_1005800	40.6196674008186	-1.905622777573	0.575883672959441	-3.30904116065678	0.000936160731636776	0.00570743898401911
PF3D7_1435900	32.8969456908151	-1.87686613600851	0.5548808433759	-3.3824669898309	0.000718379109288778	0.00455073628227285
PF3D7_0526100	33.0030326909006	-1.86999916744068	0.551534946770828	-3.39053613626716	0.000697560575970698	0.00446777419802938
PF3D7_1470000	33.3832464655161	-1.85002299344275	0.560428370132151	-3.30108733254618	0.000963108987644211	0.00584037519610148
